type;name;01.01.2015;01.01.2016;01.01.2017;01.01.2018;01.01.2019;01.01.2020
D;47.16;12.7113;0;0;0;0;0
D;48.16;15.5198;32.8612;0;0;0;0
D;49.16;4.7092;0;0;0;0;0
D;50.16;11.0492;18.8609;0;0;0;0
D;51.16;8.0808;10.5418;0;0;0;0
D;52.16;6.3513;0;0;0;0;0
D;53.16;14.5437;0;0;0;0;0
D;54.16;8.5727;11.2496;0;0;0;0
D;55.16;5.4198;0;0;0;0;0
D;56.16;0;0;0;0;0;0
D;57.16;25.8432;0;0;0;0;0
D;58.16;16.7644;0;0;0;0;0
D;59.16;33.3727;0;0;0;0;0
D;60.16;11.0757;0;0;0;0;0
D;61.16;6.78;5.9314;0;0;0;0
D;62.16;0;0;0;0;0;0
D;63.16;13.9784;0;0;0;0;0
D;64.16;16.5865;0;0;0;0;0
D;65.16;7.9891;21.549;0;0;0;0
D;66.16;7.2229;7.9068;0;0;0;0
D;67.16;65.4621;0;0;0;0;0
D;68.16;9.4513;0;0;0;0;0
D;69.16;74.8567;0;0;0;0;0
D;70.16;14.2638;0;0;0;0;0
D;71.16;23.5408;14.9942;0;0;0;0
D;72.16;26.8213;0;0;0;0;0
